location_id	bin_early	bin_late	morphotype	taxon	rank	taxonomic_tree	taxon_ambiguous_with	variable	variable_unit	variable_value (float)	variable_ci (float option)	variable_confidence_qualitative (string option)
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Betula sp.	Betula	Genus	Life > Plantae > Angiosperms > Fagales > Betulaceae > Betula	Betula	pollen	percentage	38.75		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Botrychium sp.	Botrychium	Genus	Life > Plantae > Polypodiophyta > Polypodiopsida > Ophioglossales > Ophioglossaceae > Botrychioideae > Botrychium	Botrychium	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Campanula sp.	Campanula	Genus	Life > Plantae > Angiosperms > Asterales > Campanulaceae > Campanula	Campanula	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Cerastium-Stellaria type	Stellaria longipes Goldie	Species	Stellaria longipes Goldie	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Cerastium-Stellaria type	Cerastium fontanum Baumg.	Species	Cerastium fontanum Baumg.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Cerastium-Stellaria type	Cerastium alpinum L.	Species	Cerastium alpinum L.	Stellaria longipes Goldie;Cerastium fontanum Baumg.;Cerastium alpinum L.	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Dryas type	Dryas	Genus	Life > Plantae > Angiosperms > Rosales > Rosaceae > Dryas	Dryas	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Dryopteris type	Polypodiaceae	Family	Life > Plantae > Polypodiophyta > Polypodiopsida > Polypodiales > Polypodiaceae	Polypodiaceae	pollen	percentage	1.25		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Euphrasia type	Rhinanthus	Genus	Life > Plantae > Angiosperms > Lamiales > Orobanchaceae > Rhinanthus	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Euphrasia type	Euphrasia	Genus	Euphrasia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Euphrasia type	Bartsia	Genus	Bartsia	Rhinanthus;Euphrasia;Bartsia	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Galium sp.	Galium	Genus	Life > Plantae > Angiosperms > Gentianales > Rubiaceae > Galium	Galium	pollen	percentage	0		
individualtimelinenode_c2805b46-f963-491a-b825-766208e247a0	6821	6821	Gymnocarpium dryopteris	Gymnocarpium dryopteris (L.) Newman	Species	Gymnocarpium dryopteris (L.) Newman	Gymnocarpium dryopteris (L.) Newman	pollen	percentage	3.33333		
