Taxon	Family	Genus	Species	Subunit (string option)	Subunit Value	ID	TaxonOriginal	Ic	FN	KP	SF	UN	YG	Tm	AO	Kh	YK	CW	WI	CS	CE	AW	AN	CC	HL	EP	GW	GE	A	B	C	D	E	N
D. cespitosa	POACEAE	Deschampsia	cespitosa			341601	D. cespitosa	f	f	s	*	r	-	-	-	-	-	-	-	-	-	*	-	-	-	-	*	-	-	-	**	*	F	F
D. alpina	POACEAE	Deschampsia	alpina			341602	D. alpina	f	s	-	f	s	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	s	R	F	F	F	F	S
D. brevifolia	POACEAE	Deschampsia	brevifolia			341603	D. brevifolia	-	-	-	-	-	-	s	s	s	s	-	s	r	r	r	f	f	r	f	r	s	F	F	F	S	S	R
D. anadyrensis	POACEAE	Deschampsia	anadyrensis			341604	D. anadyrensis	-	-	s	-	r	r	s	s	s	r	f	f	r	s	s	r	?	r	-	-	-	-		S	F	F	F
D. vodopjanoviae	POACEAE	Deschampsia	vodopjanoviae			341605	D. vodopjanoviae	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
D. sukatschewii subsp. sukatschewii	POACEAE	Deschampsia	sukatschewii	subsp.	sukatschewii	341606a	D. sukatschewii subsp. sukatschewii	-	-	-	-	-	-	-	r	-	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	F
D. sukatschewii subsp. orientalis	POACEAE	Deschampsia	sukatschewii	subsp.	orientalis	341606b	D. sukatschewii subsp. orientalis	-	-	-	-	-	-	-	-	-	-	r	r	r	r	f	f	s	s	-	-	-	-	-	-	R	F	F
D. sukatschewii subsp. borealis	POACEAE	Deschampsia	sukatschewii	subsp.	borealis	341606c	D. sukatschewii subsp. borealis	-	-	r	s	s	s	f	s	s	s	f	f	s	r	r	r	r	r	r	s	s	-	?	S	F	F	F
D. obensis	POACEAE	Deschampsia	obensis			341607	D. obensis	-	-	-	-	-	s	s	s	s	r	r	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F	F
D. beringensis	POACEAE	Deschampsia	beringensis			341608	D. beringensis	*	-	-	-	-	-	-	-	-	-	-	-	-	-	s	-	-	-	-	-	-	-	-	-	-	R	F
A. flexuosa	POACEAE	Avenella	flexuosa			341701	A. flexuosa	f	f	f	-	s	r	-	-	-	-	-	-	-	-	-	-	-	r	-	s	s	-	-	-	R	F	F
V. atropurpurea	POACEAE	Vahlodea	atropurpurea			341801	V. atropurpurea	-	s	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	s	-	s	r	-	-	-	-	S	F
V. latifolia subsp. paramushirensis	POACEAE	Vahlodea	latifolia	subsp.	paramushirensis	341802a	V. latifolia subsp. paramushirensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	S
M. effusum	POACEAE	Milium	effusum			341901	M. effusum	s	s	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
C. sesquiflora	POACEAE	Calamagrostis	sesquiflora			342001	C. sesquiflora	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
C. arctica	POACEAE	Calamagrostis	arctica			342002	C. arctica	-	-	-	-	-	-	-	-	-	-	r	-	f	f	r	-	-	-	-	-	-	-	-	-	?	S	F
C. purpurascens subsp. purpurascens	POACEAE	Calamagrostis	purpurascens	subsp.	purpurascens	342003a	C. purpurascens subsp. purpurascens	-	-	-	r	-	-	r	r	r	r	f	r	f	f	f	f	f	-	s	s	s	-	R	F	F	F	F
C. purpurascens subsp. laricina	POACEAE	Calamagrostis	purpurascens	subsp.	laricina	342003b	C. purpurascens subsp. laricina	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	?	-	r	-	-	-	-	?	S	S
C. deschampsioides	POACEAE	Calamagrostis	deschampsioides			342004	C. deschampsioides	-	r	s	-	s	?	r	r	r	r	s	-	s	s	s	r	r	s	-	-	-	-	-	?	S	F	F
C. holmii	POACEAE	Calamagrostis	holmii			342005	C. holmii	-	-	r	-	s	f	f	f	f	s	f	s	s	f	s	s	r	-	-	-	-	-	-	R	F	F	F
C. neglecta subsp. neglecta	POACEAE	Calamagrostis	neglecta	subsp.	neglecta	342006a	C. neglecta subsp. neglecta	-	s	f	-	f	f	s	r	r	r	s	-	r	r	r	r	s	f	-	f	f	-	-	?	S	F	F
C. neglecta subsp. groenlandica	POACEAE	Calamagrostis	neglecta	subsp.	groenlandica	342006b	C. neglecta subsp. groenlandica	f	f	f	s	f	f	s	-	-	-	r	r	-	r	r	s	s	s	r	s	s	-	?	S	F	F	F
C. inexpansa	POACEAE	Calamagrostis	inexpansa			342007	C. inexpansa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	r	r	-	s	r	-	-	-	R	R	F
C. lapponica subsp. lapponica	POACEAE	Calamagrostis	lapponica	subsp.	lapponica	342008a	C. lapponica subsp. lapponica	-	s	s	-	s	f	s	s	s	r	f	-	f	f	f	s	r	r	-	-	-	-	-	?	S	F	F
C. lapponica subsp. sibirica	POACEAE	Calamagrostis	lapponica	subsp.	sibirica	342008b	C. lapponica subsp. sibirica	-	-	s	-	s	s	s	r	s	r	s	-	f	f	s	-	s	s	-	r	-	-	-	-	R	F	F
C. phragmitoides	POACEAE	Calamagrostis	phragmitoides			342009	C. phragmitoides	-	f	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	F	F
C. purpurea	POACEAE	Calamagrostis	purpurea			342010	C. purpurea	-	-	-	-	r	-	?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
C. tenuis	POACEAE	Calamagrostis	tenuis			342011	C. tenuis	-	-	-	-	-	-	-	-	-	r	r	-	s	s	s	r	-	-	-	-	-	-	-	-	?	S	F
C. canadensis subsp. canadensis	POACEAE	Calamagrostis	canadensis	subsp.	canadensis	342012a	C. canadensis subsp. canadensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	r	?	-	-	-	-	-	-	-	S	F
C. canadensis subsp. langsdorfii	POACEAE	Calamagrostis	canadensis	subsp.	langsdorfii	342012b	C. canadensis subsp. langsdorfii	-	-	r	-	s	s	s	s	s	r	r	-	s	r	f	f	s	s	-	f	r	-	-	?	S	F	F
C. epigeios	POACEAE	Calamagrostis	epigeios			342013	C. epigeios	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
A. stolonifera	POACEAE	Agrostis	stolonifera			342101	A. stolonifera	f	f	s	-	r	r	-	-	-	-	-	-	-	-	*	-	-	*	-	r	*	-	-	-	?	S	F
A. stolonifera subsp. stolonifera	POACEAE	Agrostis	stolonifera	subsp.	stolonifera	342101a	A. stolonifera subsp. stolonifera	r	f	s	-	r	r	-	-	-	-	-	-	-	-	*	-	-	*	-	r	*	-	-	-	?	S	F
A. stolonifera subsp. straminea	POACEAE	Agrostis	stolonifera	subsp.	straminea	342101b	A. stolonifera subsp. straminea	-	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F
A. gigantea	POACEAE	Agrostis	gigantea			342102	A. gigantea	-	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
A. capillaris	POACEAE	Agrostis	capillaris			342103	A. capillaris	f	s	r	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	S	F
A. exarata	POACEAE	Agrostis	exarata			342104	A. exarata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	S
A. alaskana	POACEAE	Agrostis	alaskana			342105	A. alaskana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	b	-	-	-	-	-	-	-	-	-	-	b	S
A. canina	POACEAE	Agrostis	canina			342106	A. canina	-	r	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. vinealis	POACEAE	Agrostis	vinealis			342107	A. vinealis	f	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	-	-	R	S	F	F
A. kudoi	POACEAE	Agrostis	kudoi			342108	A. kudoi	-	-	-	-	-	-	r	-	-	-	s	r	r	r	r	-	-	-	-	-	-	-	-	?	S	F	F
A. mertensii	POACEAE	Agrostis	mertensii			342109	A. mertensii	-	f	f	-	f	r	-	-	-	-	-	-	-	-	r	r	r	f	-	f	f	-	-	R	F	F	F
A. anadyrensis	POACEAE	Agrostis	anadyrensis			342110	A. anadyrensis	-	-	-	-	-	-	-	-	-	r	s	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	F
A. clavata	POACEAE	Agrostis	clavata			342111	A. clavata	-	-	*	-	-	*	-	-	-	-	*	-	-	*	-	-	-	-	-	-	-	-	-	-	-	*	S
A. scabra	POACEAE	Agrostis	scabra			342112	A. scabra	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	r	r	r	-	r	-	-	-	-	-	R	F
F. altaica	POACEAE	Festuca	altaica			342201	F. altaica	-	-	-	-	-	-	r	r	s	r	s	-	s	s	f	f	r	-	-	-	-	-	-	-	R	F	F
F. rubra subsp. rubra	POACEAE	Festuca	rubra	subsp.	rubra	342202a	F. rubra subsp. rubra	?	f	s	r	s	s	s	s	s	r	f	s	f	f	f	s	r	r	-	s	s	-	-	R	S	F	F
F. rubra subsp. richardsonii	POACEAE	Festuca	rubra	subsp.	richardsonii	342202b	F. rubra subsp. richardsonii	f	s	f	f	f	f	f	f	f	r	f	s	f	f	f	f	f	s	-	f	f	-	S	F	F	F	S
F. baffinensis	POACEAE	Festuca	baffinensis			342203	F. baffinensis	-	-	-	s	r	-	-	-	-	r	s	s	-	s	r	f	f	f	f	r	f	-	S	F	F	F	S
F. brevissima	POACEAE	Festuca	brevissima			342204	F. brevissima	-	-	-	-	-	-	-	-	-	-	s	s	s	s	s	f	-	-	-	-	-	-	-	-	R	F	F
F. hyperborea	POACEAE	Festuca	hyperborea			342205	F. hyperborea	-	-	-	r	-	-	r	-	-	?	-	-	-	-	-	-	s	s	s	r	s	S	F	F	S	R	-
F. edlundiae	POACEAE	Festuca	edlundiae			342206	F. edlundiae	-	-	-	f	-	-	-	-	-	?	-	r	-	X	-	r	s	s	s	r	r	R	F	F	S	R	-
F. brachyphylla	POACEAE	Festuca	brachyphylla			342207	F. brachyphylla	-	-	r	r	s	f	f	f	f	f	f	f	f	f	s	f	f	f	s	f	f	R	F	F	F	F	F
F. groenlandica	POACEAE	Festuca	groenlandica			342208	F. groenlandica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	R	S	S	-
F. vivipara	POACEAE	Festuca	vivipara			342209	F. vivipara	f	s	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	s	-	-	?	S	F	F
F. frederikseniae	POACEAE	Festuca	frederikseniae			342210	F. frederikseniae	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	R	F	F	F	R
F. viviparoidea	POACEAE	Festuca	viviparoidea			342211	F. viviparoidea	-	-	-	f	f	r	f	-	-	-	s	f	s	f	s	f	-	-	r	-	s	-	R	F	F	F	F
F. lenensis	POACEAE	Festuca	lenensis			342212	F. lenensis	-	-	-	-	-	-	-	-	r	r	s	r	r	r	f	f	?	-	-	-	-	-	-	-	R	F	F
F. auriculata	POACEAE	Festuca	auriculata			342213	F. auriculata	-	-	-	-	r	-	s	r	f	r	s	s	s	s	-	r	-	-	-	-	-	-	R	S	F	F	F
F. saximontana	POACEAE	Festuca	saximontana			342214	F. saximontana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	s	-	-	-	-	-	R	F
F. kolymensis	POACEAE	Festuca	kolymensis			342215	F. kolymensis	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
F. ovina (subsp. ovina)	POACEAE	Festuca	ovina	(subsp.	ovina)	342216	F. ovina (subsp. ovina)	-	f	f	r	s	f	r	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	R	?	F	F
S. pratensis	POACEAE	Schedonorus	pratensis			342301	S. pratensis	*	*	-	-	-	-	**	-	-	-	**	-	-	-	**	-	-	-	-	*	-	-	-	-	-	*	*
L. perenne	POACEAE	Lolium	perenne			342401	L. perenne	*	**	-	-	-	-	-	-	-	-	-	-	-	-	**	-	-	-	-	**	-	-	-	-	-	*	*
A. eminens	POACEAE	Arctopoa	eminens			342501	A. eminens	-	-	-	-	-	-	-	-	-	-	-	-	r	s	f	-	-	r	-	-	-	-	-	-	R	F	F
A. trautvetteri	POACEAE	Arctopoa	trautvetteri			342502	A. trautvetteri	-	-	-	-	-	-	-	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. subfastigiata	POACEAE	Arctopoa	subfastigiata			342503	A. subfastigiata	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	-	-	-	-	-	*	S
P. alpina var. alpina	POACEAE	Poa	alpina	var.	alpina	342601a	P. alpina var. alpina	f	f	f	r	f	s	s	-	-	-	-	-	-	r	r	s	r	f	-	f	f	-	R	F	F	F	F
P. alpina var. vivipara	POACEAE	Poa	alpina	var.	vivipara	342601b	P. alpina var. vivipara	r	r	r	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	R	F	F	F	S	R
P. x jemtlandica	POACEAE	Poa	x	jemtlandica		342602	P. x jemtlandica	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. arctica subsp. arctica	POACEAE	Poa	arctica	subsp.	arctica	342603a	P. arctica subsp. arctica	-	s	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	s	f	f	S	F	F	F	F	S
P. arctica subsp. caespitans	POACEAE	Poa	arctica	subsp.	caespitans	342603b	P. arctica subsp. caespitans	-	-	-	s	r	-	-	-	-	-	-	-	-	-	-	-	s	f	f	s	f	S	F	F	S	R	R
P. arctica subsp. lanata	POACEAE	Poa	arctica	subsp.	lanata	342603c	P. arctica subsp. lanata	-	-	-	-	-	-	-	-	-	-	r	-	r	r	s	f	r	-	-	-	-	-	-	?	S	F	F
P. malacantha	POACEAE	Poa	malacantha			342604	P. malacantha	-	-	-	-	-	-	-	-	-	-	s	s	f	f	?	?	-	-	-	-	-	-	-	?	S	F	F
P. platyantha	POACEAE	Poa	platyantha			342605	P. platyantha	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	S
P. almasovii	POACEAE	Poa	almasovii			342606	P. almasovii	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
P. beringiana	POACEAE	Poa	beringiana			342607	P. beringiana	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	R
P. macrocalyx	POACEAE	Poa	macrocalyx			342608	P. macrocalyx	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	R	F
P. pratensis subsp. pratensis	POACEAE	Poa	pratensis	subsp.	pratensis	342609a	P. pratensis subsp. pratensis	*	*	s	-	s	r	r	r	r	r	r	r	r	r	*	*	*	*	-	*	*	-	-	-	*	S	F
P. pratensis subsp. angustifolia	POACEAE	Poa	pratensis	subsp.	angustifolia	342609b	P. pratensis subsp. angustifolia	-	-	*	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	-	*	-	-	-	-	-	*	R
P. pratensis subsp. irrigata	POACEAE	Poa	pratensis	subsp.	irrigata	342609c	P. pratensis subsp. irrigata	f	s	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	*	-	r	r	-	-	*	*	F	F
P. pratensis subsp. alpigena	POACEAE	Poa	pratensis	subsp.	alpigena	342609d	P. pratensis subsp. alpigena	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	f	s	f	r	f	f	R	F	F	F	F	F
P. pratensis subsp. colpodea	POACEAE	Poa	pratensis	subsp.	colpodea	342609e	P. pratensis subsp. colpodea	-	-	s	f	f	f	f	f	f	f	f	f	-	f	-	s	s	r	s	r	s	R	F	F	S	R	-
P. pratensis subsp. zhukoviae	POACEAE	Poa	pratensis	subsp.	zhukoviae	342609f	P. pratensis subsp. zhukoviae	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F
P. raduliformis	POACEAE	Poa	raduliformis			342610	P. raduliformis	-	-	-	-	-	-	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	R	R
P. sublanata	POACEAE	Poa	sublanata			342611	P. sublanata	-	-	-	-	-	s	s	r	r	-	r	-	s	-	r	r	-	-	-	-	-	-	-	-	?	R	F
P. porsildii	POACEAE	Poa	porsildii			342612	P. porsildii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	S
P. sibirica	POACEAE	Poa	sibirica			342613	P. sibirica	-	-	r	-	s	s	r	r	s	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S	F
P. trivialis (subsp. trivialis)	POACEAE	Poa	trivialis	(subsp.	trivialis)	342614	P. trivialis (subsp. trivialis)	s	r	*	**	-	-	-	-	-	-	-	-	-	*	-	-	-	-	-	*	-	-	-	**	-	R	F
P. nemoralis subsp. nemoralis	POACEAE	Poa	nemoralis	subsp.	nemoralis	342615a	P. nemoralis subsp. nemoralis	s	s	r	-	s	-	r	-	-	-	-	-	-	-	-	-	-	*	-	s	r	-	-	-	-	S	F
P. nemoralis subsp. lapponica	POACEAE	Poa	nemoralis	subsp.	lapponica	342615b	P. nemoralis subsp. lapponica	-	r	-	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. nemoralis subsp. subpolaris	POACEAE	Poa	nemoralis	subsp.	subpolaris	342615c	P. nemoralis subsp. subpolaris	-	-	-	-	r	-	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	R
P. tanfiljewii	POACEAE	Poa	tanfiljewii			342616	P. tanfiljewii	-	-	s	-	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	S
P. palustris	POACEAE	Poa	palustris			342617	P. palustris	-	*	r	**	s	s	s	s	s	r	r	-	-	-	-	-	-	r	-	**	-	-	-	**	*	S	F
P. urssulensis	POACEAE	Poa	urssulensis			342618	P. urssulensis	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
P. ochotensis	POACEAE	Poa	ochotensis			342619	P. ochotensis	-	-	-	-	-	-	r	-	r	r	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	F
P. botryoides	POACEAE	Poa	botryoides			342620	P. botryoides	-	-	-	-	-	-	-	-	r	r	s	-	r	r	-	-	-	-	-	-	-	-	-	-	?	R	F
P. arctostepporum	POACEAE	Poa	arctostepporum			342621	P. arctostepporum	-	-	-	-	-	-	-	-	-	-	r	r	-	-	r	-	-	-	-	-	-	-	-	?	R	R	R
P. glauca	POACEAE	Poa	glauca			342622	P. glauca	f	s	r	f	s	r	r	f	f	f	f	s	f	f	s	f	f	f	f	f	f	-	S	F	F	F	F
P. pekulnejensis	POACEAE	Poa	pekulnejensis			342623	P. pekulnejensis	-	-	-	-	-	-	-	-	-	-	-	-	r	-	?	-	-	-	-	-	-	-	-	-	-	R	R
P. filiculmis	POACEAE	Poa	filiculmis			342624	P. filiculmis	-	-	-	-	-	-	r	r	r	r	r	-	r	r	-	-	-	-	-	-	-	-	-	-	-	R	S
P. magadanensis	POACEAE	Poa	magadanensis			342625	P. magadanensis	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	-	-	-	-	-	R	S
P. hartzii subsp. hartzii	POACEAE	Poa	hartzii	subsp.	hartzii	342626a	P. hartzii subsp. hartzii	-	-	-	s	-	-	-	-	-	-	-	?	-	-	-	-	r	r	s	r	s	-	R	F	F	S	R
P. hartzii subsp. alaskana	POACEAE	Poa	hartzii	subsp.	alaskana	342626b	P. hartzii subsp. alaskana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	-
P. hartzii subsp. vrangelica	POACEAE	Poa	hartzii	subsp.	vrangelica	342626c	P. hartzii subsp. vrangelica	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	-	-	?	R	R	-
P. ammophila	POACEAE	Poa	ammophila			342637	P. ammophila	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	-	S	-
P. abbreviata subsp. abbreviata	POACEAE	Poa	abbreviata	subsp.	abbreviata	342638a	P. abbreviata subsp. abbreviata	-	-	-	f	s	-	s	-	r	-	r	s	-	r	r	r	f	f	f	r	f	F	F	F	S	R	R
P. abbreviata subsp. pattersonii	POACEAE	Poa	abbreviata	subsp.	pattersonii	342638b	P. abbreviata subsp. pattersonii	-	-	-	-	-	-	-	-	-	-	-	r	-	r	r	s	-	-	-	-	-	-	-	-	-	R	F
P. pseudoabbreviata	POACEAE	Poa	pseudoabbreviata			342639	P. pseudoabbreviata	-	-	-	-	-	-	b	r	f	-	s	s	-	s	r	r	-	-	-	-	-	-	-	R	S	S	S
P. laxa subsp. flexuosa	POACEAE	Poa	laxa	subsp.	flexuosa	342630a	P. laxa subsp. flexuosa	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
P. sp. (aff. laxa)	POACEAE	Poa	sp.	(aff.	laxa)	342631	P. sp. (aff. laxa)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	r	-	-	-	-	R	R	R
P. leptocoma	POACEAE	Poa	leptocoma			342632	P. leptocoma	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	-	R	R	S
P. paucispicula	POACEAE	Poa	paucispicula			342633	P. paucispicula	-	-	-	-	-	-	s	s	f	-	f	s	s	f	s	f	r	-	-	-	-	-	-	?	S	F	F
P. supina	POACEAE	Poa	supina			342634	P. supina	-	-	*	-	*	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
P. annua	POACEAE	Poa	annua			342635	P. annua	*	*	*	**	*	-	-	-	-	-	-	-	-	-	*	-	-	*	-	*	*	-	-	**	*	*	*
H. lanatiflora	POACEAE	Hyalopoa	lanatiflora			342701	H. lanatiflora	-	-	-	-	-	-	-	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F
A. fulva	POACEAE	Arctophila	fulva			342801	A. fulva	-	r	f	s	f	f	f	f	f	f	f	f	f	f	f	f	f	f	-	r	-	-	S	F	F	F	F
X Arctodupontia	POACEAE	Arctophila	Arctodupontia			3429	X Arctodupontia																											
X A. scleroclada	POACEAE	Arctophila	A.	scleroclada		342901	X A. scleroclada	-	-	r	r	-	-	-	-	-	-	X	-	-	X	-	-	-	r	-	-	-	-	-	R	R	R	-
D. fisheri	POACEAE	Dupontia	fisheri			343001	D. fisheri	-	-	f	f	f	f	f	s	f	s	f	f	s	f	f	f	f	f	s	r	r	R	F	F	F	F	S
D. fisheri tetraploid morph 'psilosantha'	POACEAE	Dupontia				343001a	D. fisheri tetraploid morph 'psilosantha'	-	-	f	f	s	f	r	r	f	s	s	-	s	s	f	f	s	f	-	r	r	-	S	F	F	F	S
D. fisheri octoploid morph 'fisheri'	POACEAE	Dupontia				343001b	D. fisheri octoploid morph 'fisheri'	-	-	s	f	s	f	f	s	r	s	f	f	-	f	r	s	f	f	s	r	-	R	F	F	F	S	R
D. fisheri dodecaploid morph	POACEAE	Dupontia	fisheri	dodecaploid	morph	343001c	D. fisheri dodecaploid morph	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	r	s	r	-	-	-	-	-	-	R	S	S
X Duarctopoa	POACEAE	Dupontia	Duarctopoa			3431	X Duarctopoa																											
X D. labradorica	POACEAE	Dupontia	D.	labradorica		343101	X D. labradorica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	r	-	-	-	-	-	-	R	R	S
P. maritima	POACEAE	Puccinellia	maritima			343201	P. maritima	f	b	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	R	F
P. geniculata	POACEAE	Puccinellia	geniculata			343202	P. geniculata	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	-	-	-	-	-	-	-	-	-	-	?	R
P. phryganodes subsp. phryganodes	POACEAE	Puccinellia	phryganodes	subsp.	phryganodes	343203a	P. phryganodes subsp. phryganodes	-	-	-	-	-	-	-	-	-	-	-	-	s	s	s	?	-	-	-	-	-	-	-	?	S	F	F
P. phryganodes subsp. neoarctica	POACEAE	Puccinellia	phryganodes	subsp.	neoarctica	343203b	P. phryganodes subsp. neoarctica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	?	f	f	s	f	f	-	S	F	F	F	S
P. phryganodes subsp. sibirica	POACEAE	Puccinellia	phryganodes	subsp.	sibirica	343203c	P. phryganodes subsp. sibirica	-	f	s	-	s	-	s	r	r	s	s	s	-	s	-	?	-	-	-	-	-	-	?	S	F	F	S
P. phryganodes subsp. vilfoidea	POACEAE	Puccinellia	phryganodes	subsp.	vilfoidea	343203d	P. phryganodes subsp. vilfoidea	-	-	-	f	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	S	F	S	-	-
P. nuttalliana	POACEAE	Puccinellia	nuttalliana			343204	P. nuttalliana	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	r	-	s	-	-	-	R	S	S	F
P. nuttalliana s. str.	POACEAE	Puccinellia	nuttalliana	s.	str.		P. nuttalliana s. str.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	-	R	F
P. interior	POACEAE	Puccinellia	interior				P. interior	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	-	-	-	-	-	R	F
P. deschampsioides	POACEAE	Puccinellia	deschampsioides				P. deschampsioides	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	s	-	-	-	R	S	S	R
P. rosenkrantzii	POACEAE	Puccinellia	rosenkrantzii				P. rosenkrantzii	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	-	-	-	?	R	R	-
P. borealis subsp. borealis	POACEAE	Puccinellia	borealis	subsp.	borealis	343205a	P. borealis subsp. borealis	-	-	-	-	-	-	-	-	r	s	r	-	r	-	f	s	s	-	-	-	-	-	-	-	R	F	F
P. borealis subsp. neglecta	POACEAE	Puccinellia	borealis	subsp.	neglecta	343205b	P. borealis subsp. neglecta	-	-	-	-	-	-	s	r	r	s	-	-	-	-	-	-	-	-	-	-	-	-	-	-	R	F	F
P. banksiensis	POACEAE	Puccinellia	banksiensis			343206	P. banksiensis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	r	r	-	-	-	-	-	-	-	R	-	-
P. hauptiana	POACEAE	Puccinellia	hauptiana			343207	P. hauptiana	-	-	*	-	*	*	*	-	*	*	*	-	*	*	r	r	-	b	-	-	-	-	-	-	R	S	F
P. distans	POACEAE	Puccinellia	distans			343208	P. distans	-	-	*	-	*	*	-	-	*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	*	S
P. coarctata	POACEAE	Puccinellia	coarctata			343209	P. coarctata	f	f	r	r	r	-	-	-	-	-	-	-	-	-	-	-	-	-	-	s	s	-	-	R	F	F	F
